City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,53.37,96,100,17.27,CA,1726514040
1,tiksi,71.6872,128.8694,33.98,94,100,14.63,RU,1726514041
2,lompoc,34.6391,-120.4579,65.89,66,100,14.97,US,1726513954
3,bethel,41.3712,-73.414,76.28,42,0,4.61,US,1726514043
4,invercargill,-46.4,168.35,37.02,89,100,8.99,NZ,1726514045
5,ribeira grande,38.5167,-28.7,75.6,83,40,16.11,PT,1726514046
6,pilani,28.3684,75.6041,81.82,47,6,8.34,IN,1726514047
7,tazovsky,67.4667,78.7,44.62,94,85,9.82,RU,1726514048
8,newman,37.3138,-121.0208,67.03,56,100,11.61,US,1726513800
9,beichengqu,40.4394,113.1536,59.02,88,100,3.42,CN,1726514050
10,el granada,37.5027,-122.4694,64.0,73,75,4.61,US,1726514051
11,port-aux-francais,-49.35,70.2167,39.76,95,100,36.22,TF,1726514052
12,wailua homesteads,22.0669,-159.378,78.31,82,100,12.66,US,1726514054
13,san andres,12.5847,-81.7006,89.62,74,20,10.36,CO,1726514055
14,waitangi,-43.9535,-176.5597,51.82,95,100,8.01,NZ,1726514056
15,ancud,-41.8697,-73.8203,52.3,61,100,3.71,CL,1726514057
16,zouerate,22.7187,-12.4521,97.48,24,73,2.01,MR,1726514058
17,seferihisar,38.1969,26.839,69.03,63,0,1.57,TR,1726514059
18,howrah,22.5892,88.3103,80.6,100,75,6.91,IN,1726514060
19,puerto natales,-51.7236,-72.4875,55.85,47,40,33.38,CL,1726514061
20,watsa,3.0372,29.5355,65.86,96,61,1.88,CD,1726513906
21,ushuaia,-54.8,-68.3,42.24,91,97,10.94,AR,1726513914
22,georgetown,5.4112,100.3354,77.05,87,20,4.61,MY,1726514064
23,edinburgh of the seven seas,-37.0676,-12.3116,53.04,77,24,34.27,SH,1726514065
24,adamstown,-25.066,-130.1015,67.42,86,100,19.93,PN,1726514066
25,iqaluit,63.7506,-68.5145,38.7,86,100,20.71,CA,1726514067
26,margaret river,-33.95,115.0667,51.58,79,0,5.12,AU,1726514068
27,sabang,5.8933,95.3214,82.0,81,100,29.17,ID,1726514070
28,grytviken,-54.2811,-36.5092,31.75,86,59,12.95,GS,1726514071
29,talnakh,69.4865,88.3972,39.27,93,85,6.13,RU,1726514072
30,colonia,50.9333,6.95,63.5,79,75,5.75,DE,1726513865
31,whitehorse,60.7161,-135.0538,51.67,66,75,15.01,CA,1726514076
32,susuman,62.7833,148.1667,28.09,82,21,2.59,RU,1726514077
33,st. john's,47.5649,-52.7093,69.03,61,75,26.46,CA,1726514078
34,rio grande,-32.035,-52.0986,62.64,69,0,6.6,BR,1726514079
35,port elizabeth,-33.918,25.5701,61.32,81,0,4.61,ZA,1726514080
36,santiago de cao,-7.9589,-79.2392,66.33,77,0,12.66,PE,1726514081
37,phang nga,8.4509,98.5298,75.51,95,100,8.84,TH,1726514082
38,atafu village,-8.5421,-172.5159,81.61,75,19,7.16,TK,1726513971
39,ambagarh chauki,20.7833,80.7167,74.34,91,100,8.32,IN,1726514084
40,jamestown,42.097,-79.2353,82.02,36,0,5.99,US,1726514086
41,port mathurin,-19.6833,63.4167,70.41,76,71,25.17,MU,1726514088
42,bredasdorp,-34.5322,20.0403,48.45,85,0,3.56,ZA,1726514089
43,maraba,-5.3686,-49.1178,100.58,30,20,5.75,BR,1726514090
44,ingeniero jacobacci,-41.3427,-69.5448,60.42,21,100,20.78,AR,1726514091
45,la passe,45.5549,-0.8967,62.62,52,6,9.06,FR,1726514092
46,hamilton,39.1834,-84.5333,86.99,34,20,8.05,US,1726513937
47,kodiak,57.79,-152.4072,56.71,58,20,3.44,US,1726514094
48,olonkinbyen,70.9221,-8.7187,33.26,84,100,13.35,SJ,1726514095
49,loppi,60.7167,24.45,55.58,97,98,3.94,FI,1726514097
50,nova sintra,14.8667,-24.7167,79.92,73,9,11.68,CV,1726514098
51,amos,48.5669,-78.1162,80.47,49,4,11.65,CA,1726513909
52,descalvado,-21.9039,-47.6194,77.09,47,41,6.67,BR,1726514100
53,timbuktu,16.7735,-3.0074,94.32,39,14,6.85,ML,1726514101
54,dhromolaxia,34.8755,33.5868,77.83,54,0,5.75,CY,1726514102
55,ponta delgada,37.7333,-25.6667,74.12,56,20,8.05,PT,1726514103
56,college,64.8569,-147.8028,44.1,88,100,0.0,US,1726514104
57,turpan,42.9333,89.1667,77.76,22,0,0.13,CN,1726514105
58,urengoy,65.9667,78.3667,52.97,96,98,10.33,RU,1726514106
59,longyearbyen,78.2186,15.6401,46.24,76,75,19.57,SJ,1726514107
60,aykhal,66.0,111.5,36.3,91,100,20.27,RU,1726514108
61,barra de santo antonio,-9.4047,-35.5072,77.54,71,2,6.31,BR,1726514109
62,punta arenas,-53.15,-70.9167,50.11,62,0,17.27,CL,1726514072
63,novosokol'niki,56.3463,30.1578,59.61,58,43,3.56,RU,1726514112
64,bollnas,61.3482,16.3946,53.47,66,100,3.56,SE,1726514113
